hit_rate_ini:	0.0474645	miss_ratio_ini:	1
376	4359	0.381914	0.881348	0.564341
411	4536	0.382066	0.880859	0.565015
555	2792	0.382165	0.880371	0.565688
433	4028	0.382306	0.879883	0.566358
398	3438	0.382459	0.879395	0.567026
352	4130	0.382637	0.878906	0.567692
471	3663	0.382764	0.878418	0.568356
628	3378	0.382853	0.87793	0.569018
443	3910	0.382991	0.877441	0.569678
333	3529	0.383177	0.876953	0.570336
521	3861	0.383291	0.876465	0.570992
638	3991	0.383382	0.875977	0.571646
654	3243	0.383466	0.875488	0.572298
435	3396	0.383604	0.875	0.572948
602	2564	0.383691	0.874512	0.573596
509	3702	0.383808	0.874023	0.574242
597	3935	0.383906	0.873535	0.574887
646	3722	0.383994	0.873047	0.575529
768	3666	0.384065	0.872559	0.576169
669	4203	0.384152	0.87207	0.576807
653	3095	0.384235	0.871582	0.577444
909	3621	0.384292	0.871094	0.578078
788	2895	0.384356	0.870605	0.578711
975	3101	0.384404	0.870117	0.579341
691	3620	0.384485	0.869629	0.57997
877	2706	0.384538	0.869141	0.580597
733	3759	0.384614	0.868652	0.581222
