hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
25712	17630	0.487298	0.26123	1
13017	27319	0.487301	0.261169	1
11205	19652	0.487304	0.261108	1
10218	12999	0.487305	0.261108	1
6892	52201	0.487314	0.261047	1
8111	126846	0.487323	0.260986	1
11682	11215	0.487322	0.260986	1
12993	23388	0.487325	0.260925	1
13488	23388	0.487327	0.260864	1
11512	23388	0.48733	0.260803	1
24090	23388	0.48733	0.260803	1
21574	23388	0.48733	0.260803	1
9476	23388	0.487335	0.260742	1
13947	23388	0.487337	0.260681	1
36686	23388	0.487336	0.260681	1
9765	23388	0.48734	0.26062	1
16473	23388	0.487341	0.26062	1
10255	23388	0.487345	0.260559	1
21837	23388	0.487345	0.260559	1
25844	120063	0.487347	0.260559	1
65710	110209	0.487348	0.260559	1
14845	71405	0.487352	0.260498	1
8678	903832	0.48736	0.260437	1
12462	37075	0.487364	0.260376	1
12160	701169	0.487369	0.260315	1
16411	100814	0.487373	0.260315	1
15883	114192	0.487377	0.260254	1
22314	55556	0.487379	0.260254	1
